node1,node2,similarity
74-88-4,1038915-84-2,0.0
74-88-4,1038915-82-0,0.0
74-88-4,1038915-80-8,0.0
74-88-4,1038915-70-6,0.0
74-88-4,1038915-67-1,0.0
74-88-4,1038915-64-8,0.0
74-88-4,1038915-73-9,0.012
74-88-4,1038915-56-8,0.0
74-88-4,1038915-62-6,0.0
74-88-4,1038915-76-2,0.0
74-88-4,1038915-71-7,0.0
74-88-4,1038915-68-2,0.0
76-05-1,104-15-4,0.067
76-05-1,501-53-1,0.118
76-05-1,1692-25-7,0.032
76-05-1,460-00-4,0.04
76-05-1,1038915-60-4,0.042
76-05-1,5437-38-7,0.108
76-05-1,5471-82-9,0.068
76-05-1,518070-19-4,0.156
76-05-1,138229-59-1,0.064
76-05-1,875798-79-1,0.071
76-05-1,132874-06-7,0.062
76-05-1,1171197-20-8,0.071
76-05-1,1038916-11-8,0.048
76-05-1,952479-96-8,0.125
76-05-1,1038915-75-1,0.042
76-05-1,1038915-92-2,0.048
76-05-1,1038915-90-0,0.047
76-05-1,1038916-08-3,0.061
76-05-1,952480-01-2,0.083
76-05-1,952474-39-4,0.077
76-05-1,1038915-99-9,0.045
76-05-1,952479-98-0,0.1
76-05-1,952479-62-8,0.071
76-05-1,952479-61-7,0.068
76-05-1,1038916-05-0,0.045
76-05-1,1038915-58-0,0.042
76-05-1,952479-97-9,0.089
76-05-1,952480-02-3,0.091
76-05-1,952475-51-3,0.07
76-05-1,952480-00-1,0.098
76-05-1,952479-99-1,0.103
76-05-1,1038916-13-0,0.119
76-05-1,1038916-03-8,0.056
76-05-1,1038916-01-6,0.055
76-05-1,1038915-94-4,0.053
76-05-1,1038915-86-4,0.051
76-05-1,1038915-84-2,0.051
76-05-1,1038915-82-0,0.055
76-05-1,1038915-80-8,0.055
76-05-1,1038915-70-6,0.051
76-05-1,1038915-67-1,0.055
76-05-1,1038915-64-8,0.041
76-05-1,1038915-73-9,0.034
76-05-1,1038915-56-8,0.041
76-05-1,1038915-62-6,0.041
76-05-1,1038915-76-2,0.139
76-05-1,1038915-71-7,0.128
76-05-1,1038915-68-2,0.137
104-15-4,501-53-1,0.111
104-15-4,1692-25-7,0.1
104-15-4,460-00-4,0.086
104-15-4,1038915-60-4,0.061
104-15-4,5437-38-7,0.178
104-15-4,5471-82-9,0.157
104-15-4,518070-19-4,0.167
104-15-4,138229-59-1,0.127
104-15-4,875798-79-1,0.108
104-15-4,132874-06-7,0.125
104-15-4,1171197-20-8,0.108
104-15-4,1038916-11-8,0.075
104-15-4,952479-96-8,0.14
104-15-4,1038915-75-1,0.061
104-15-4,1038915-92-2,0.075
104-15-4,1038915-90-0,0.074
104-15-4,1038916-08-3,0.088
104-15-4,952480-01-2,0.085
104-15-4,952474-39-4,0.079
104-15-4,1038915-99-9,0.082
104-15-4,952479-98-0,0.12
104-15-4,952479-62-8,0.091
104-15-4,952479-61-7,0.103
104-15-4,1038916-05-0,0.082
104-15-4,1038915-58-0,0.061
104-15-4,952479-97-9,0.13
104-15-4,952480-02-3,0.071
104-15-4,952475-51-3,0.09
104-15-4,952480-00-1,0.096
104-15-4,952479-99-1,0.122
104-15-4,1038916-13-0,0.073
104-15-4,1038916-03-8,0.082
104-15-4,1038916-01-6,0.08
104-15-4,1038915-94-4,0.067
104-15-4,1038915-86-4,0.068
104-15-4,1038915-84-2,0.068
104-15-4,1038915-82-0,0.072
104-15-4,1038915-80-8,0.072
104-15-4,1038915-70-6,0.068
104-15-4,1038915-67-1,0.072
104-15-4,1038915-64-8,0.06
104-15-4,1038915-73-9,0.268
104-15-4,1038915-56-8,0.06
104-15-4,1038915-62-6,0.06
104-15-4,1038915-76-2,0.056
104-15-4,1038915-71-7,0.064
104-15-4,1038915-68-2,0.067
501-53-1,1692-25-7,0.111
501-53-1,460-00-4,0.073
501-53-1,1038915-60-4,0.081
501-53-1,5437-38-7,0.157
501-53-1,5471-82-9,0.14
501-53-1,518070-19-4,0.122
501-53-1,138229-59-1,0.133
501-53-1,875798-79-1,0.099
501-53-1,132874-06-7,0.15
501-53-1,1171197-20-8,0.099
501-53-1,1038916-11-8,0.082
