node1,node2,similarity
75-56-9,120685-42-9,0.036
75-56-9,120685-41-8,0.045
75-56-9,120685-35-0,0.041
75-56-9,120685-32-7,0.038
75-56-9,120685-29-2,0.036
75-56-9,120685-49-6,0.038
75-56-9,120685-48-5,0.038
75-56-9,120685-40-7,0.038
75-56-9,120685-36-1,0.037
75-56-9,120685-34-9,0.033
75-56-9,120685-31-6,0.034
75-56-9,120685-30-5,0.034
75-56-9,120685-25-8,0.039
75-56-9,120685-23-6,0.038
75-56-9,120685-19-0,0.035
75-56-9,120751-44-2,0.037
75-56-9,120685-26-9,0.043
75-56-9,120685-28-1,0.041
407-25-0,122-04-3,0.079
407-25-0,4530-20-5,0.139
407-25-0,100-07-2,0.111
407-25-0,96-32-2,0.154
407-25-0,62996-74-1,0.02
407-25-0,122-01-0,0.091
407-25-0,1885-14-9,0.114
407-25-0,57-06-7,0.0
407-25-0,403-43-0,0.121
407-25-0,609-65-4,0.086
407-25-0,618-46-2,0.081
407-25-0,99-33-2,0.079
407-25-0,121-90-4,0.068
407-25-0,1436-34-6,0.0
407-25-0,5445-17-0,0.148
407-25-0,1711-07-5,0.108
407-25-0,120685-11-2,0.045
407-25-0,7377-26-6,0.139
407-25-0,2404-44-6,0.0
407-25-0,3234-28-4,0.0
407-25-0,84468-15-5,0.019
407-25-0,120685-17-8,0.045
407-25-0,120685-10-1,0.035
407-25-0,120685-20-3,0.036
407-25-0,120685-18-9,0.034
407-25-0,120685-13-4,0.027
407-25-0,120685-12-3,0.075
407-25-0,120685-22-5,0.037
407-25-0,120685-15-6,0.041
407-25-0,120685-44-1,0.044
407-25-0,120685-16-7,0.051
407-25-0,120685-14-5,0.034
407-25-0,120685-45-2,0.035
407-25-0,120685-33-8,0.038
407-25-0,120685-27-0,0.019
407-25-0,120685-21-4,0.037
407-25-0,120685-47-4,0.034
407-25-0,120685-46-3,0.034
407-25-0,120685-39-4,0.025
407-25-0,120685-38-3,0.037
407-25-0,120685-37-2,0.034
407-25-0,120685-24-7,0.018
407-25-0,120685-50-9,0.018
407-25-0,120685-43-0,0.035
407-25-0,120685-42-9,0.034
407-25-0,120685-41-8,0.042
407-25-0,120685-35-0,0.019
407-25-0,120685-32-7,0.018
407-25-0,120685-29-2,0.025
407-25-0,120685-49-6,0.027
407-25-0,120685-48-5,0.027
407-25-0,120685-40-7,0.046
407-25-0,120685-36-1,0.017
407-25-0,120685-34-9,0.023
407-25-0,120685-31-6,0.024
407-25-0,120685-30-5,0.024
407-25-0,120685-25-8,0.028
407-25-0,120685-23-6,0.036
407-25-0,120685-19-0,0.042
407-25-0,120751-44-2,0.035
407-25-0,120685-26-9,0.02
407-25-0,120685-28-1,0.019
122-04-3,4530-20-5,0.061
122-04-3,100-07-2,0.378
122-04-3,96-32-2,0.079
122-04-3,62996-74-1,0.065
122-04-3,122-01-0,0.424
122-04-3,1885-14-9,0.19
122-04-3,57-06-7,0.0
122-04-3,403-43-0,0.412
122-04-3,609-65-4,0.225
122-04-3,618-46-2,0.275
122-04-3,99-33-2,0.486
122-04-3,121-90-4,0.45
122-04-3,1436-34-6,0.0
122-04-3,5445-17-0,0.077
122-04-3,1711-07-5,0.268
122-04-3,120685-11-2,0.085
122-04-3,7377-26-6,0.368
122-04-3,2404-44-6,0.0
122-04-3,3234-28-4,0.0
122-04-3,84468-15-5,0.085
122-04-3,120685-17-8,0.067
122-04-3,120685-10-1,0.066
122-04-3,120685-20-3,0.068
122-04-3,120685-18-9,0.136
122-04-3,120685-13-4,0.059
122-04-3,120685-12-3,0.068
122-04-3,120685-22-5,0.069
122-04-3,120685-15-6,0.13
122-04-3,120685-44-1,0.092
122-04-3,120685-16-7,0.081
122-04-3,120685-14-5,0.065
122-04-3,120685-45-2,0.094
122-04-3,120685-33-8,0.071
122-04-3,120685-27-0,0.054
122-04-3,120685-21-4,0.07
122-04-3,120685-47-4,0.092
122-04-3,120685-46-3,0.188
122-04-3,120685-39-4,0.055
122-04-3,120685-38-3,0.07
122-04-3,120685-37-2,0.065
122-04-3,120685-24-7,0.05
122-04-3,120685-50-9,0.052
122-04-3,120685-43-0,0.093
122-04-3,120685-42-9,0.074
122-04-3,120685-41-8,0.081
122-04-3,120685-35-0,0.053
122-04-3,120685-32-7,0.05
122-04-3,120685-29-2,0.064
122-04-3,120685-49-6,0.059
122-04-3,120685-48-5,0.067
122-04-3,120685-40-7,0.078
122-04-3,120685-36-1,0.057
122-04-3,120685-34-9,0.044
122-04-3,120685-31-6,0.062
122-04-3,120685-30-5,0.062
122-04-3,120685-25-8,0.051
122-04-3,120685-23-6,0.068
122-04-3,120685-19-0,0.063
122-04-3,120751-44-2,0.092
122-04-3,120685-26-9,0.055
122-04-3,120685-28-1,0.053
4530-20-5,100-07-2,0.109
4530-20-5,96-32-2,0.206
4530-20-5,62996-74-1,0.046
4530-20-5,122-01-0,0.068
4530-20-5,1885-14-9,0.111
4530-20-5,57-06-7,0.049
4530-20-5,403-43-0,0.067
4530-20-5,609-65-4,0.089
4530-20-5,618-46-2,0.062
4530-20-5,99-33-2,0.061
4530-20-5,121-90-4,0.055
4530-20-5,1436-34-6,0.045
4530-20-5,5445-17-0,0.167
4530-20-5,1711-07-5,0.061
4530-20-5,120685-11-2,0.058
4530-20-5,7377-26-6,0.13
4530-20-5,2404-44-6,0.04
4530-20-5,3234-28-4,0.04
4530-20-5,84468-15-5,0.032
4530-20-5,120685-17-8,0.095
4530-20-5,120685-10-1,0.075
4530-20-5,120685-20-3,0.068
4530-20-5,120685-18-9,0.047
4530-20-5,120685-13-4,0.05
4530-20-5,120685-12-3,0.059
4530-20-5,120685-22-5,0.078
4530-20-5,120685-15-6,0.045
4530-20-5,120685-44-1,0.048
4530-20-5,120685-16-7,0.047
4530-20-5,120685-14-5,0.065
4530-20-5,120685-45-2,0.049
4530-20-5,120685-33-8,0.053
4530-20-5,120685-27-0,0.044
4530-20-5,120685-21-4,0.07
4530-20-5,120685-47-4,0.056
4530-20-5,120685-46-3,0.047
4530-20-5,120685-39-4,0.063
4530-20-5,120685-38-3,0.061
4530-20-5,120685-37-2,0.056
4530-20-5,120685-24-7,0.05
4530-20-5,120685-50-9,0.043
4530-20-5,120685-43-0,0.049
4530-20-5,120685-42-9,0.048
4530-20-5,120685-41-8,0.047
4530-20-5,120685-35-0,0.035
