node1,node2,similarity
61-54-1,5130-24-5,0.0
61-54-1,304-52-9,0.246
61-54-1,1821-47-2,0.46
61-54-1,3610-36-4,0.415
61-54-1,1134-01-6,0.283
61-54-1,576-16-9,0.46
61-54-1,20776-45-8,0.397
61-54-1,14490-05-2,0.377
61-54-1,575-85-9,0.44
61-54-1,497871-47-3,0.048
61-54-1,712-08-3,0.246
61-54-1,31677-75-5,0.318
61-54-1,308359-33-3,0.043
61-54-1,144285-85-8,0.082
61-54-1,497871-10-0,0.047
61-54-1,497924-35-3,0.08
61-54-1,497924-37-5,0.083
61-54-1,497871-86-0,0.077
61-54-1,497871-85-9,0.078
61-54-1,497871-84-8,0.085
61-54-1,497871-83-7,0.085
61-54-1,497871-82-6,0.084
61-54-1,497871-81-5,0.085
61-54-1,497871-80-4,0.077
61-54-1,497871-79-1,0.079
61-54-1,497871-78-0,0.075
61-54-1,497871-77-9,0.076
61-54-1,497871-76-8,0.082
61-54-1,497871-75-7,0.083
61-54-1,497871-74-6,0.077
61-54-1,497871-73-5,0.082
61-54-1,497871-72-4,0.074
61-54-1,497871-71-3,0.082
61-54-1,497871-70-2,0.083
61-54-1,497871-69-9,0.074
61-54-1,497871-68-8,0.082
61-54-1,497871-67-7,0.083
61-54-1,497871-66-6,0.076
61-54-1,497871-65-5,0.083
61-54-1,497871-64-4,0.083
61-54-1,497871-63-3,0.082
61-54-1,497871-62-2,0.082
61-54-1,497871-61-1,0.048
61-54-1,497871-60-0,0.048
61-54-1,497871-59-7,0.091
61-54-1,497871-58-6,0.048
61-54-1,497871-57-5,0.048
61-54-1,497871-56-4,0.055
61-54-1,497871-55-3,0.048
61-54-1,497871-54-2,0.048
61-54-1,497871-53-1,0.056
61-54-1,497871-52-0,0.048
61-54-1,497871-51-9,0.048
61-54-1,497871-50-8,0.048
61-54-1,497871-49-5,0.061
61-54-1,497871-48-4,0.062
61-54-1,497871-46-2,0.08
61-54-1,497871-45-1,0.08
61-54-1,497871-44-0,0.073
61-54-1,497871-43-9,0.073
61-54-1,497871-42-8,0.08
61-54-1,497871-41-7,0.08
61-54-1,497871-40-6,0.08
61-54-1,497871-39-3,0.08
61-54-1,497871-38-2,0.046
61-54-1,497871-37-1,0.046
61-54-1,497871-36-0,0.088
61-54-1,497871-35-9,0.047
61-54-1,497871-34-8,0.047
61-54-1,497871-33-7,0.054
61-54-1,497871-31-5,0.046
61-54-1,497871-30-4,0.047
61-54-1,497871-28-0,0.055
61-54-1,497871-25-7,0.047
61-54-1,497871-20-2,0.047
61-54-1,497871-18-8,0.047
61-54-1,497871-15-5,0.06
61-54-1,497871-13-3,0.061
141-75-3,625-36-5,0.5
141-75-3,2937-50-0,0.231
141-75-3,608-07-1,0.057
141-75-3,17082-09-6,0.139
141-75-3,61-49-4,0.06
141-75-3,375-16-6,0.192
141-75-3,299-26-3,0.061
141-75-3,5130-24-5,0.208
141-75-3,304-52-9,0.077
141-75-3,1821-47-2,0.06
141-75-3,3610-36-4,0.078
141-75-3,1134-01-6,0.075
141-75-3,576-16-9,0.039
141-75-3,20776-45-8,0.03
141-75-3,14490-05-2,0.06
141-75-3,575-85-9,0.061
141-75-3,497871-47-3,0.047
141-75-3,712-08-3,0.057
141-75-3,31677-75-5,0.031
141-75-3,308359-33-3,0.042
141-75-3,144285-85-8,0.049
141-75-3,497871-10-0,0.039
141-75-3,497924-35-3,0.04
141-75-3,497924-37-5,0.034
141-75-3,497871-86-0,0.039
141-75-3,497871-85-9,0.046
141-75-3,497871-84-8,0.039
141-75-3,497871-83-7,0.046
141-75-3,497871-82-6,0.052
141-75-3,497871-81-5,0.075
141-75-3,497871-80-4,0.045
141-75-3,497871-79-1,0.062
141-75-3,497871-78-0,0.031
141-75-3,497871-77-9,0.038
141-75-3,497871-76-8,0.031
141-75-3,497871-75-7,0.038
141-75-3,497871-74-6,0.038
141-75-3,497871-73-5,0.044
141-75-3,497871-72-4,0.037
141-75-3,497871-71-3,0.051
141-75-3,497871-70-2,0.065
141-75-3,497871-69-9,0.037
141-75-3,497871-68-8,0.044
141-75-3,497871-67-7,0.045
141-75-3,497871-66-6,0.038
141-75-3,497871-65-5,0.038
141-75-3,497871-64-4,0.065
141-75-3,497871-63-3,0.056
141-75-3,497871-62-2,0.056
141-75-3,497871-61-1,0.047
141-75-3,497871-60-0,0.047
141-75-3,497871-59-7,0.057
141-75-3,497871-58-6,0.048
141-75-3,497871-57-5,0.048
141-75-3,497871-56-4,0.048
141-75-3,497871-55-3,0.047
141-75-3,497871-54-2,0.047
141-75-3,497871-53-1,0.057
141-75-3,497871-52-0,0.047
141-75-3,497871-51-9,0.048
141-75-3,497871-50-8,0.048
141-75-3,497871-49-5,0.049
141-75-3,497871-48-4,0.05
141-75-3,497871-46-2,0.037
141-75-3,497871-45-1,0.037
141-75-3,497871-44-0,0.036
141-75-3,497871-43-9,0.03
141-75-3,497871-42-8,0.031
141-75-3,497871-41-7,0.057
141-75-3,497871-40-6,0.047
141-75-3,497871-39-3,0.047
141-75-3,497871-38-2,0.039
141-75-3,497871-37-1,0.039
141-75-3,497871-36-0,0.048
141-75-3,497871-35-9,0.039
141-75-3,497871-34-8,0.039
141-75-3,497871-33-7,0.04
141-75-3,497871-31-5,0.039
141-75-3,497871-30-4,0.039
141-75-3,497871-28-0,0.048
141-75-3,497871-25-7,0.039
141-75-3,497871-20-2,0.039
141-75-3,497871-18-8,0.039
141-75-3,497871-15-5,0.042
141-75-3,497871-13-3,0.042
625-36-5,2937-50-0,0.24
625-36-5,608-07-1,0.019
625-36-5,17082-09-6,0.143
625-36-5,61-49-4,0.02
625-36-5,375-16-6,0.2
625-36-5,299-26-3,0.02
625-36-5,5130-24-5,0.217
625-36-5,304-52-9,0.038
625-36-5,1821-47-2,0.02
625-36-5,3610-36-4,0.019
625-36-5,1134-01-6,0.037
625-36-5,576-16-9,0.02
625-36-5,20776-45-8,0.015
625-36-5,14490-05-2,0.02
625-36-5,575-85-9,0.02
625-36-5,497871-47-3,0.034
625-36-5,712-08-3,0.019
625-36-5,31677-75-5,0.015
625-36-5,308359-33-3,0.034
625-36-5,144285-85-8,0.034
625-36-5,497871-10-0,0.026
625-36-5,497924-35-3,0.026
625-36-5,497924-37-5,0.021
625-36-5,497871-86-0,0.026
625-36-5,497871-85-9,0.032
625-36-5,497871-84-8,0.026
625-36-5,497871-83-7,0.033
625-36-5,497871-82-6,0.039
625-36-5,497871-81-5,0.047
625-36-5,497871-80-4,0.032
625-36-5,497871-79-1,0.037
625-36-5,497871-78-0,0.019
625-36-5,497871-77-9,0.025
625-36-5,497871-76-8,0.019
625-36-5,497871-75-7,0.025
625-36-5,497871-74-6,0.025
625-36-5,497871-73-5,0.031
625-36-5,497871-72-4,0.025
625-36-5,497871-71-3,0.058
625-36-5,497871-70-2,0.038
625-36-5,497871-69-9,0.025
625-36-5,497871-68-8,0.031
625-36-5,497871-67-7,0.032
625-36-5,497871-66-6,0.025
625-36-5,497871-65-5,0.025
625-36-5,497871-64-4,0.038
625-36-5,497871-63-3,0.049
625-36-5,497871-62-2,0.049
625-36-5,497871-61-1,0.04
625-36-5,497871-60-0,0.04
625-36-5,497871-59-7,0.043
625-36-5,497871-58-6,0.041
625-36-5,497871-57-5,0.041
625-36-5,497871-56-4,0.034
625-36-5,497871-55-3,0.033
625-36-5,497871-54-2,0.034
625-36-5,497871-53-1,0.042
625-36-5,497871-52-0,0.033
625-36-5,497871-51-9,0.034
625-36-5,497871-50-8,0.034
625-36-5,497871-49-5,0.037
625-36-5,497871-48-4,0.037
625-36-5,497871-46-2,0.024
625-36-5,497871-45-1,0.025
625-36-5,497871-44-0,0.018
625-36-5,497871-43-9,0.018
625-36-5,497871-42-8,0.018
625-36-5,497871-41-7,0.031
625-36-5,497871-40-6,0.04
625-36-5,497871-39-3,0.04
625-36-5,497871-38-2,0.032
625-36-5,497871-37-1,0.032
625-36-5,497871-36-0,0.034
625-36-5,497871-35-9,0.033
625-36-5,497871-34-8,0.033
625-36-5,497871-33-7,0.026
625-36-5,497871-31-5,0.026
625-36-5,497871-30-4,0.026
625-36-5,497871-28-0,0.034
625-36-5,497871-25-7,0.026
625-36-5,497871-20-2,0.026
625-36-5,497871-18-8,0.026
625-36-5,497871-15-5,0.03
625-36-5,497871-13-3,0.03
2937-50-0,608-07-1,0.034
2937-50-0,17082-09-6,0.154
2937-50-0,61-49-4,0.018
2937-50-0,375-16-6,0.167
2937-50-0,299-26-3,0.018
2937-50-0,5130-24-5,0.435
2937-50-0,304-52-9,0.034
2937-50-0,1821-47-2,0.018
2937-50-0,3610-36-4,0.035
2937-50-0,1134-01-6,0.034
2937-50-0,576-16-9,0.018
2937-50-0,20776-45-8,0.029
2937-50-0,14490-05-2,0.018
2937-50-0,575-85-9,0.018
2937-50-0,497871-47-3,0.032
2937-50-0,712-08-3,0.017
2937-50-0,31677-75-5,0.044
