node1,node2,similarity
320-51-4,284461-80-9,0.212
320-51-4,284461-75-2,0.222
320-51-4,284461-65-0,0.076
320-51-4,284461-63-8,0.084
320-51-4,284461-62-7,0.069
320-51-4,284461-55-8,0.084
320-51-4,284461-50-3,0.082
320-51-4,284462-31-3,0.146
320-51-4,284462-30-2,0.147
320-51-4,284462-27-7,0.093
320-51-4,284462-26-6,0.111
320-51-4,284462-21-1,0.111
320-51-4,284462-15-3,0.172
320-51-4,284462-12-0,0.191
320-51-4,284462-11-9,0.179
320-51-4,284462-10-8,0.189
320-51-4,284462-03-9,0.167
320-51-4,284461-70-7,0.071
320-51-4,284461-68-3,0.078
320-51-4,284461-64-9,0.077
320-51-4,284461-58-1,0.085
320-51-4,284461-51-4,0.115
320-51-4,284461-48-9,0.128
320-51-4,284461-45-6,0.099
320-51-4,284461-43-4,0.095
320-51-4,284461-42-3,0.082
320-51-4,284461-33-2,0.057
320-51-4,284462-35-7,0.049
320-51-4,284462-25-5,0.116
320-51-4,284462-23-3,0.11
320-51-4,284462-01-7,0.205
320-51-4,284461-78-5,0.195
320-51-4,284461-69-4,0.076
320-51-4,284461-60-5,0.082
320-51-4,284461-54-7,0.085
320-51-4,284461-53-6,0.1
320-51-4,284461-47-8,0.083
320-51-4,284462-34-6,0.043
320-51-4,284462-16-4,0.17
320-51-4,284462-13-1,0.181
320-51-4,284462-09-5,0.198
320-51-4,284462-08-4,0.167
320-51-4,284462-05-1,0.187
320-51-4,284462-00-6,0.207
320-51-4,284461-98-9,0.205
320-51-4,284461-95-6,0.172
320-51-4,284461-92-3,0.221
320-51-4,284461-90-1,0.233
320-51-4,284461-89-8,0.224
320-51-4,284461-85-4,0.23
320-51-4,284461-84-3,0.239
320-51-4,284461-83-2,0.207
320-51-4,284461-81-0,0.202
320-51-4,284461-79-6,0.207
320-51-4,284461-77-4,0.212
320-51-4,284461-67-2,0.08
320-51-4,284461-66-1,0.07
320-51-4,284461-61-6,0.082
320-51-4,284461-59-2,0.084
320-51-4,284461-57-0,0.09
320-51-4,284461-56-9,0.082
320-51-4,284461-52-5,0.095
320-51-4,284461-49-0,0.094
320-51-4,284461-46-7,0.089
320-51-4,284461-41-2,0.098
320-51-4,284461-40-1,0.088
320-51-4,284461-39-8,0.05
320-51-4,284461-38-7,0.052
320-51-4,284461-37-6,0.054
320-51-4,284461-36-5,0.053
320-51-4,284461-35-4,0.054
320-51-4,284461-34-3,0.063
320-51-4,284461-96-7,0.163
320-51-4,284461-71-8,0.066
320-51-4,284462-70-0,0.195
320-51-4,284461-99-0,0.218
320-51-4,284462-36-8,0.047
320-51-4,284462-06-2,0.175
320-51-4,284461-86-5,0.218
320-51-4,284462-33-5,0.152
320-51-4,176977-85-8,0.109
320-51-4,51727-15-2,0.122
327-78-6,349-65-5,0.14
327-78-6,284462-37-9,0.066
327-78-6,99586-65-9,0.125
327-78-6,284461-74-1,0.212
327-78-6,284462-80-2,0.07
327-78-6,284462-18-6,0.117
327-78-6,284461-44-5,0.1
327-78-6,284461-76-3,0.198
327-78-6,284462-02-8,0.167
327-78-6,284461-82-1,0.198
327-78-6,284462-32-4,0.16
327-78-6,284462-28-8,0.165
327-78-6,284462-17-5,0.196
327-78-6,284461-72-9,0.207
327-78-6,228418-48-2,0.101
327-78-6,284462-29-9,0.152
327-78-6,284462-24-4,0.116
327-78-6,284462-22-2,0.112
327-78-6,284462-20-0,0.144
327-78-6,284462-19-7,0.152
327-78-6,284462-07-3,0.196
327-78-6,284462-04-0,0.202
327-78-6,284461-97-8,0.209
327-78-6,284461-94-5,0.17
327-78-6,284461-93-4,0.167
327-78-6,284461-91-2,0.205
327-78-6,284461-88-7,0.212
327-78-6,284461-80-9,0.207
327-78-6,284461-75-2,0.202
327-78-6,284461-65-0,0.1
327-78-6,284461-63-8,0.099
327-78-6,284461-62-7,0.082
327-78-6,284461-55-8,0.099
327-78-6,284461-50-3,0.096
327-78-6,284462-31-3,0.157
327-78-6,284462-30-2,0.158
327-78-6,284462-27-7,0.096
327-78-6,284462-26-6,0.113
327-78-6,284462-21-1,0.113
327-78-6,284462-15-3,0.181
327-78-6,284462-12-0,0.188
327-78-6,284462-11-9,0.176
327-78-6,284462-10-8,0.198
327-78-6,284462-03-9,0.165
327-78-6,284461-70-7,0.093
327-78-6,284461-68-3,0.102
327-78-6,284461-64-9,0.091
327-78-6,284461-58-1,0.1
327-78-6,284461-51-4,0.127
327-78-6,284461-48-9,0.118
327-78-6,284461-45-6,0.102
327-78-6,284461-43-4,0.098
327-78-6,284461-42-3,0.096
327-78-6,284461-33-2,0.064
327-78-6,284462-35-7,0.064
327-78-6,284462-25-5,0.118
327-78-6,284462-23-3,0.112
327-78-6,284462-01-7,0.2
327-78-6,284461-78-5,0.204
327-78-6,284461-69-4,0.1
327-78-6,284461-60-5,0.096
327-78-6,284461-54-7,0.122
327-78-6,284461-53-6,0.103
327-78-6,284461-47-8,0.087
327-78-6,284462-34-6,0.061
327-78-6,284462-16-4,0.168
327-78-6,284462-13-1,0.19
327-78-6,284462-09-5,0.207
327-78-6,284462-08-4,0.165
327-78-6,284462-05-1,0.184
327-78-6,284462-00-6,0.202
327-78-6,284461-98-9,0.2
327-78-6,284461-95-6,0.17
327-78-6,284461-92-3,0.229
327-78-6,284461-90-1,0.256
327-78-6,284461-89-8,0.232
327-78-6,284461-85-4,0.222
327-78-6,284461-84-3,0.231
327-78-6,284461-83-2,0.202
327-78-6,284461-81-0,0.198
327-78-6,284461-79-6,0.202
327-78-6,284461-77-4,0.235
327-78-6,284461-67-2,0.105
327-78-6,284461-66-1,0.083
327-78-6,284461-61-6,0.097
327-78-6,284461-59-2,0.099
327-78-6,284461-57-0,0.117
327-78-6,284461-56-9,0.096
327-78-6,284461-52-5,0.111
327-78-6,284461-49-0,0.097
327-78-6,284461-46-7,0.116
327-78-6,284461-41-2,0.114
327-78-6,284461-40-1,0.103
327-78-6,284461-39-8,0.066
327-78-6,284461-38-7,0.09
327-78-6,284461-37-6,0.082
327-78-6,284461-36-5,0.069
327-78-6,284461-35-4,0.071
327-78-6,284461-34-3,0.07
327-78-6,284461-96-7,0.162
327-78-6,284461-71-8,0.087
327-78-6,284462-70-0,0.204
327-78-6,284461-99-0,0.212
327-78-6,284462-36-8,0.056
327-78-6,284462-06-2,0.184
327-78-6,284461-86-5,0.212
327-78-6,284462-33-5,0.163
327-78-6,176977-85-8,0.113
327-78-6,51727-15-2,0.125
349-65-5,284462-37-9,0.118
349-65-5,99586-65-9,0.094
349-65-5,284461-74-1,0.114
349-65-5,284462-80-2,0.109
349-65-5,284462-18-6,0.111
349-65-5,284461-44-5,0.235
349-65-5,284461-76-3,0.106
349-65-5,284462-02-8,0.08
349-65-5,284461-82-1,0.106
349-65-5,284462-32-4,0.144
349-65-5,284462-28-8,0.149
349-65-5,284462-17-5,0.094
349-65-5,284461-72-9,0.111
349-65-5,228418-48-2,0.238
349-65-5,284462-29-9,0.147
349-65-5,284462-24-4,0.11
349-65-5,284462-22-2,0.106
349-65-5,284462-20-0,0.128
349-65-5,284462-19-7,0.101
349-65-5,284462-07-3,0.088
349-65-5,284462-04-0,0.109
349-65-5,284461-97-8,0.1
349-65-5,284461-94-5,0.092
349-65-5,284461-93-4,0.09
349-65-5,284461-91-2,0.11
349-65-5,284461-88-7,0.114
349-65-5,284461-80-9,0.104
349-65-5,284461-75-2,0.109
349-65-5,284461-65-0,0.208
349-65-5,284461-63-8,0.233
349-65-5,284461-62-7,0.187
349-65-5,284461-55-8,0.233
349-65-5,284461-50-3,0.225
349-65-5,284462-31-3,0.141
349-65-5,284462-30-2,0.155
349-65-5,284462-27-7,0.08
349-65-5,284462-26-6,0.096
349-65-5,284462-21-1,0.108
349-65-5,284462-15-3,0.082
349-65-5,284462-12-0,0.124
349-65-5,284462-11-9,0.095
349-65-5,284462-10-8,0.1
349-65-5,284462-03-9,0.08
349-65-5,284461-70-7,0.192
349-65-5,284461-68-3,0.213
349-65-5,284461-64-9,0.211
349-65-5,284461-58-1,0.235
349-65-5,284461-51-4,0.222
349-65-5,284461-48-9,0.225
349-65-5,284461-45-6,0.256
349-65-5,284461-43-4,0.244
349-65-5,284461-42-3,0.225
349-65-5,284461-33-2,0.092
349-65-5,284462-35-7,0.099
349-65-5,284462-25-5,0.1
349-65-5,284462-23-3,0.118
349-65-5,284462-01-7,0.096
349-65-5,284461-78-5,0.103
349-65-5,284461-69-4,0.208
349-65-5,284461-60-5,0.225
349-65-5,284461-54-7,0.235
349-65-5,284461-53-6,0.259
349-65-5,284461-47-8,0.23
349-65-5,284462-34-6,0.111
349-65-5,284462-16-4,0.081
349-65-5,284462-13-1,0.118
349-65-5,284462-09-5,0.093
349-65-5,284462-08-4,0.089
349-65-5,284462-05-1,0.099
349-65-5,284462-00-6,0.109
349-65-5,284461-98-9,0.108
349-65-5,284461-95-6,0.092
349-65-5,284461-92-3,0.128
349-65-5,284461-90-1,0.107
349-65-5,284461-89-8,0.129
349-65-5,284461-85-4,0.119
349-65-5,284461-84-3,0.123
349-65-5,284461-83-2,0.133
349-65-5,284461-81-0,0.118
349-65-5,284461-79-6,0.109
349-65-5,284461-77-4,0.099
349-65-5,284461-67-2,0.22
349-65-5,284461-66-1,0.19
349-65-5,284461-61-6,0.227
349-65-5,284461-59-2,0.233
349-65-5,284461-57-0,0.25
349-65-5,284461-56-9,0.225
349-65-5,284461-52-5,0.267
349-65-5,284461-49-0,0.241
349-65-5,284461-46-7,0.247
349-65-5,284461-41-2,0.274
349-65-5,284461-40-1,0.244
349-65-5,284461-39-8,0.149
349-65-5,284461-38-7,0.156
349-65-5,284461-37-6,0.163
349-65-5,284461-36-5,0.157
349-65-5,284461-35-4,0.149
349-65-5,284461-34-3,0.101
349-65-5,284461-96-7,0.097
349-65-5,284461-71-8,0.177
349-65-5,284462-70-0,0.103
349-65-5,284461-99-0,0.126
349-65-5,284462-36-8,0.094
349-65-5,284462-06-2,0.093
349-65-5,284461-86-5,0.14
349-65-5,284462-33-5,0.147
349-65-5,176977-85-8,0.164
349-65-5,51727-15-2,0.074
284462-37-9,99586-65-9,0.254
284462-37-9,284461-74-1,0.341
284462-37-9,284462-80-2,0.642
284462-37-9,284462-18-6,0.487
284462-37-9,284461-44-5,0.458
284462-37-9,284461-76-3,0.412
284462-37-9,284462-02-8,0.292
284462-37-9,284461-82-1,0.364
284462-37-9,284462-32-4,0.337
284462-37-9,284462-28-8,0.442
284462-37-9,284462-17-5,0.344
284462-37-9,284461-72-9,0.247
284462-37-9,228418-48-2,0.224
284462-37-9,284462-29-9,0.42
284462-37-9,284462-24-4,0.33
284462-37-9,284462-22-2,0.412
284462-37-9,284462-20-0,0.371
284462-37-9,284462-19-7,0.42
284462-37-9,284462-07-3,0.187
284462-37-9,284462-04-0,0.229
284462-37-9,284461-97-8,0.25
284462-37-9,284461-94-5,0.174
284462-37-9,284461-93-4,0.161
284462-37-9,284461-91-2,0.33
284462-37-9,284461-88-7,0.281
284462-37-9,284461-80-9,0.435
284462-37-9,284461-75-2,0.283
284462-37-9,284461-65-0,0.179
284462-37-9,284461-63-8,0.208
284462-37-9,284461-62-7,0.144
284462-37-9,284461-55-8,0.298
284462-37-9,284461-50-3,0.344
284462-37-9,284462-31-3,0.372
284462-37-9,284462-30-2,0.347
284462-37-9,284462-27-7,0.292
284462-37-9,284462-26-6,0.24
284462-37-9,284462-21-1,0.368
284462-37-9,284462-15-3,0.164
284462-37-9,284462-12-0,0.19
284462-37-9,284462-11-9,0.17
284462-37-9,284462-10-8,0.189
284462-37-9,284462-03-9,0.15
284462-37-9,284461-70-7,0.157
284462-37-9,284461-68-3,0.171
284462-37-9,284461-64-9,0.159
284462-37-9,284461-58-1,0.247
284462-37-9,284461-51-4,0.355
284462-37-9,284461-48-9,0.42
284462-37-9,284461-45-6,0.322
284462-37-9,284461-43-4,0.268
284462-37-9,284461-42-3,0.389
284462-37-9,284461-33-2,0.247
284462-37-9,284462-35-7,0.427
284462-37-9,284462-25-5,0.25
284462-37-9,284462-23-3,0.379
284462-37-9,284462-01-7,0.24
284462-37-9,284461-78-5,0.414
284462-37-9,284461-69-4,0.179
284462-37-9,284461-60-5,0.238
284462-37-9,284461-54-7,0.175
284462-37-9,284461-53-6,0.192
284462-37-9,284461-47-8,0.414
284462-37-9,284462-34-6,0.234
284462-37-9,284462-16-4,0.172
284462-37-9,284462-13-1,0.193
284462-37-9,284462-09-5,0.184
284462-37-9,284462-08-4,0.16
284462-37-9,284462-05-1,0.176
284462-37-9,284462-00-6,0.192
284462-37-9,284461-98-9,0.368
284462-37-9,284461-95-6,0.164
284462-37-9,284461-92-3,0.189
284462-37-9,284461-90-1,0.147
284462-37-9,284461-89-8,0.131
284462-37-9,284461-85-4,0.196
284462-37-9,284461-84-3,0.189
284462-37-9,284461-83-2,0.388
284462-37-9,284461-81-0,0.379
284462-37-9,284461-79-6,0.204
284462-37-9,284461-77-4,0.184
284462-37-9,284461-67-2,0.176
284462-37-9,284461-66-1,0.146
284462-37-9,284461-61-6,0.348
284462-37-9,284461-59-2,0.173
284462-37-9,284461-57-0,0.172
284462-37-9,284461-56-9,0.179
284462-37-9,284461-52-5,0.168
284462-37-9,284461-49-0,0.24
284462-37-9,284461-46-7,0.245
284462-37-9,284461-41-2,0.172
284462-37-9,284461-40-1,0.157
284462-37-9,284461-39-8,0.181
284462-37-9,284461-38-7,0.176
284462-37-9,284461-37-6,0.247
284462-37-9,284461-36-5,0.227
284462-37-9,284461-35-4,0.247
284462-37-9,284461-34-3,0.184
284462-37-9,284461-96-7,0.167
284462-37-9,284461-71-8,0.164
284462-37-9,284462-70-0,0.108
284462-37-9,284461-99-0,0.14
284462-37-9,284462-36-8,0.284
284462-37-9,284462-06-2,0.317
284462-37-9,284461-86-5,0.213
284462-37-9,284462-33-5,0.289
284462-37-9,176977-85-8,0.27
284462-37-9,51727-15-2,0.233
99586-65-9,284461-74-1,0.28
99586-65-9,284462-80-2,0.408
99586-65-9,284462-18-6,0.153
99586-65-9,284461-44-5,0.144
99586-65-9,284461-76-3,0.172
99586-65-9,284462-02-8,0.155
99586-65-9,284461-82-1,0.172
99586-65-9,284462-32-4,0.16
99586-65-9,284462-28-8,0.165
99586-65-9,284462-17-5,0.17
99586-65-9,284461-72-9,0.114
99586-65-9,228418-48-2,0.085
99586-65-9,284462-29-9,0.163
99586-65-9,284462-24-4,0.151
99586-65-9,284462-22-2,0.146
99586-65-9,284462-20-0,0.169
99586-65-9,284462-19-7,0.163
99586-65-9,284462-07-3,0.112
99586-65-9,284462-04-0,0.111
99586-65-9,284461-97-8,0.183
99586-65-9,284461-94-5,0.104
99586-65-9,284461-93-4,0.102
99586-65-9,284461-91-2,0.179
99586-65-9,284461-88-7,0.143
99586-65-9,284461-80-9,0.169
99586-65-9,284461-75-2,0.266
99586-65-9,284461-65-0,0.086
99586-65-9,284461-63-8,0.083
99586-65-9,284461-62-7,0.078
99586-65-9,284461-55-8,0.143
