node1,node2,similarity
108-24-7,121032-43-7,0.121
108-24-7,121032-42-6,0.083
108-24-7,121032-41-5,0.081
108-24-7,121032-40-4,0.086
108-24-7,121032-39-1,0.071
108-24-7,121032-38-0,0.082
108-24-7,121032-37-9,0.071
108-24-7,121032-36-8,0.074
108-24-7,121032-35-7,0.075
108-24-7,121032-34-6,0.075
108-24-7,121032-33-5,0.071
108-24-7,121032-32-4,0.061
108-24-7,121032-31-3,0.076
108-24-7,121032-27-7,0.014
108-24-7,121032-26-6,0.031
108-24-7,121032-25-5,0.016
108-24-7,121032-24-4,0.016
108-24-7,121032-21-1,0.074
108-24-7,121032-20-0,0.075
108-24-7,121032-64-2,0.061
108-24-7,121032-63-1,0.061
108-24-7,121032-62-0,0.061
108-24-7,121032-60-8,0.097
108-24-7,121032-59-5,0.062
108-24-7,121032-56-2,0.056
108-24-7,121032-54-0,0.049
108-24-7,121032-50-6,0.065
108-24-7,121032-49-3,0.075
108-24-7,1863-63-4,0.12
108-24-7,50859-18-2,0.129
98-88-4,74-89-5,0.0
98-88-4,98-59-9,0.139
98-88-4,75-36-5,0.227
98-88-4,124-63-0,0.08
98-88-4,10025-87-3,0.087
98-88-4,3282-30-2,0.2
98-88-4,79-03-8,0.2
98-88-4,765-30-0,0.0
98-88-4,122-04-3,0.364
98-88-4,100-07-2,0.375
98-88-4,122-01-0,0.429
98-88-4,103-80-0,0.387
98-88-4,79-30-1,0.2
98-88-4,874-60-2,0.414
98-88-4,141-75-3,0.179
98-88-4,106-31-0,0.088
98-88-4,638-29-9,0.161
98-88-4,624-78-2,0.0
98-88-4,97-72-3,0.097
98-88-4,38870-89-2,0.172
98-88-4,118-48-9,0.133
98-88-4,87-42-3,0.067
98-88-4,701-99-5,0.343
98-88-4,10310-21-1,0.082
98-88-4,1538-75-6,0.097
98-88-4,20535-83-5,0.037
98-88-4,2082-59-9,0.081
98-88-4,3083-77-0,0.086
98-88-4,69304-37-6,0.03
98-88-4,938-55-6,0.039
98-88-4,121032-29-9,0.041
98-88-4,1074-89-1,0.039
98-88-4,2545-26-8,0.043
98-88-4,19690-23-4,0.039
98-88-4,892-49-9,0.075
98-88-4,17861-06-2,0.037
98-88-4,91969-06-1,0.042
98-88-4,1928-89-8,0.035
98-88-4,117761-02-1,0.035
98-88-4,5417-86-7,0.035
98-88-4,60209-41-8,0.042
98-88-4,7770-17-4,0.042
98-88-4,25050-40-2,0.092
98-88-4,121032-22-2,0.057
98-88-4,121057-95-2,0.036
98-88-4,121032-46-0,0.061
98-88-4,121032-28-8,0.041
98-88-4,121032-23-3,0.041
98-88-4,121032-57-3,0.051
98-88-4,121032-30-2,0.039
98-88-4,91275-67-1,0.04
98-88-4,121032-61-9,0.087
98-88-4,121032-58-4,0.045
98-88-4,121032-55-1,0.087
98-88-4,121032-53-9,0.09
98-88-4,121032-52-8,0.079
98-88-4,121032-51-7,0.079
98-88-4,121032-48-2,0.061
98-88-4,121032-47-1,0.059
98-88-4,121032-45-9,0.06
98-88-4,121032-44-8,0.062
98-88-4,121032-43-7,0.064
98-88-4,121032-42-6,0.061
98-88-4,121032-41-5,0.06
98-88-4,121032-40-4,0.062
